"Year","Associated_tsunami","Associated_earthquake","Country","Latitude","Longitude","Elevation","Type","Status","Time","VEI","Deaths","Deaths_description","Missing","Missing_description","Injuries","Injuries_description","Damage_million_dollars","Damage_description","Houses_destroyed","Houses_destroyed_description"
1737,0,0,"Italy",40.821,14.426,1281,"Complex volcano","Historical","D2",2,2,1,NA,NA,NA,NA,NA,2,NA,NA
1741,1,1,"Japan",41.5,139.37,737,"Stratovolcano","Historical","D4",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1742,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",3,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1742,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",3,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1749,1,1,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,1,NA,NA
1753,0,0,"Iceland",64.42,-17.33,1725,"Caldera","Historical","D1",2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1754,1,1,"Philippines",14.002,120.993,400,"Stratovolcano","Historical","D1",4,12,1,NA,NA,NA,NA,NA,4,NA,4
1755,0,0,"Iceland",63.63,-19.05,1512,"Subglacial volcano","Historical","D2",4,2,1,NA,NA,NA,NA,NA,NA,NA,NA
1757,0,1,"Portugal",38.65,-28.08,1053,"Fissure vent","Historical","D2",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1760,0,0,"Indonesia",0.32,127.4,1357,"Stratovolcano","Historical","D1",4,2000,4,NA,NA,NA,NA,NA,NA,NA,NA
1762,0,0,"Russia",56.057,160.638,4835,"Stratovolcano","Historical","D1",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
1766,0,0,"Iceland",63.98,-19.7,1491,"Stratovolcano","Historical","D1",4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
1766,0,0,"Philippines",13.257,123.685,2462,"Stratovolcano","Historical","D1",3,49,1,NA,NA,NA,NA,NA,NA,NA,NA
1768,0,0,"Ecuador",-0.677,-78.436,5911,"Stratovolcano","Historical","D2",4,NA,3,NA,NA,NA,NA,NA,3,NA,NA
1772,1,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,35,1,NA,NA,NA,NA,NA,NA,NA,NA
1772,0,0,"Indonesia",-7.32,107.73,2665,"Stratovolcano","Historical","D2",3,2957,4,NA,NA,NA,NA,NA,NA,NA,3
1773,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
1775,0,0,"Indonesia",0.8,127.325,1715,"Stratovolcano","Historical","D1",3,1300,4,NA,NA,NA,NA,NA,NA,NA,NA
1775,0,0,"Indonesia",1.358,124.792,1580,"Stratovolcano","Historical","D1",3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
